delete,ln_pop_den,pct_65_over,pct_age_18_29,pct_bach,pct_black,pct_fb,pct_hisp,pct_uninsured,totalvotes,id,Intercept,X,Y,se0,b0,sepct_black,bpct_black,sepct_hisp,bpct_hisp,sepct_65_over,bpct_65_over,sepct_age_18_29,bpct_age_18_29,sepct_fb,bpct_fb,sepct_uninsured,bpct_uninsured,sepct_bach,bpct_bach,seln_pop_den,bln_pop_den
1,0.430660333,-0.82410754,0.116936063,0.487329727,0.684518532,-0.426964587,-0.479218902,-0.496512796,-0.151345255,1001,1,-0.086641721,0.032535922,0.109232413,-0.161032072,0.03634888,0.046597296,0.283511504,-0.126065574,0.070950726,0.043623281,0.052382053,-0.056577338,0.155654007,0.188182561,0.026215416,0.031122356,0.064936181,0.099548897,0.097896113,0.278338093
2,0.615494917,0.255864457,-0.414180841,1.043961064,0.015970486,-0.179422392,-0.349517339,-0.135373006,0.396063669,1003,1,-0.087723428,0.030727208,0.136123175,-0.102483722,0.053384242,0.012583904,0.344177201,-0.064931398,0.088084687,0.087715562,0.080351351,-0.025320956,0.201539551,0.212545451,0.030257808,0.040352497,0.083380765,0.062685169,0.113054088,0.310423663
3,-0.256709605,-0.046527702,0.179713533,-1.088041982,2.65570143,-0.356238246,-0.363928624,0.346146714,-0.266642704,1005,1,-0.08539229,0.031869504,0.103428177,-0.169179198,0.038306913,0.026851956,0.244266391,0.070467877,0.067920785,0.03703528,0.051885423,-0.068430556,0.114350999,0.084628139,0.028243367,0.028617074,0.0669246,0.125252809,0.095183426,0.361029076
4,-0.107822179,-0.62971258,-0.027236828,-1.214071719,0.911962713,-0.56841727,-0.493630186,0.225766784,-0.272811238,1007,1,-0.087128405,0.032997662,0.109789448,-0.163614911,0.037532299,0.056688113,0.297451809,-0.309764906,0.070532559,0.040448426,0.05182866,-0.051730377,0.177065249,0.291476736,0.025016686,0.031499886,0.063806269,0.086583105,0.098995652,0.249309945
5,0.410880797,-0.197723782,-0.200522692,-0.930504811,-0.514732601,-0.037969709,-0.010852148,0.245830106,-0.152561585,1009,1,-0.086566051,0.033981451,0.102830239,-0.209483539,0.051780368,0.100776394,0.280104559,-0.267603626,0.064446877,0.031542124,0.051751394,-0.044485548,0.178711539,0.24293474,0.023354327,0.026572703,0.060796018,0.090903888,0.099897889,0.28670862
6,-0.562540182,-0.60811314,0.452194218,-1.035529592,4.530392857,-0.709869953,-0.493630186,0.366210036,-0.306106617,1011,1,-0.085715985,0.032100644,0.10442151,-0.172084077,0.036895878,0.036064679,0.252375626,0.040724545,0.068579975,0.038941793,0.051511213,-0.066134735,0.122111156,0.095898421,0.027579948,0.029093011,0.065881308,0.119647452,0.095481493,0.336137581
7,-0.308598468,0.191066137,-0.234015007,-0.615430469,2.504071976,-0.692188367,-0.580097895,-0.175499649,-0.273526333,1013,1,-0.086680836,0.031752621,0.117118997,-0.131046199,0.039723331,0.018641225,0.29902744,-0.018024127,0.075918518,0.057341264,0.058788754,-0.054238607,0.158059828,0.141384544,0.027985081,0.033580976,0.070577967,0.098463419,0.101110363,0.301305601
8,0.841800586,-0.348919861,0.374547411,-0.363370996,0.808578994,-0.356238246,-0.407162478,-0.014993076,0.003790363,1015,1,-0.085825913,0.033771158,0.096232669,-0.234773947,0.04897594,0.098369726,0.247214893,-0.133411401,0.060794144,0.023002677,0.049544517,-0.047076253,0.149084859,0.160864171,0.024165715,0.024542575,0.058727645,0.103740062,0.095349866,0.307877118
9,0.143301704,0.083068937,0.061051338,-0.909499855,2.104321598,-0.515372514,-0.508041471,0.145513498,-0.234790881,1017,1,-0.085392138,0.032913315,0.094691649,-0.224875314,0.03689901,0.067752612,0.225084809,-0.050376053,0.061809884,0.022265659,0.047255159,-0.063269402,0.114204727,0.133973154,0.026040371,0.025527027,0.060137757,0.11859793,0.091543811,0.32313193
10,-0.004615773,0.774251015,-0.584553013,-0.962012246,-0.307965165,-0.674506782,-0.56568661,-0.195562971,-0.254726674,1019,1,-0.085604097,0.034175522,0.095580522,-0.254753565,0.05773493,0.107405006,0.245355375,-0.150187964,0.058127705,0.018724192,0.05046854,-0.040282597,0.154085516,0.164160635,0.023619114,0.022550784,0.057912618,0.097881962,0.095621022,0.316931464
11,0.210880726,-0.60811314,-0.048230687,-0.972514724,0.009078238,-0.020288124,-0.118936783,0.687223183,-0.207884579,1021,1,-0.086719182,0.032848842,0.10749663,-0.169687489,0.037102388,0.058432992,0.283474209,-0.183162971,0.069609239,0.040028286,0.05131873,-0.05459037,0.161444237,0.215227291,0.025506326,0.030473779,0.063507408,0.097048079,0.097818467,0.270433354
12,-0.653759058,0.817449895,-0.462168854,-1.056534548,2.311089035,-0.727551538,-0.652154318,0.145513498,-0.287052999,1023,1,-0.088263489,0.032019987,0.124516149,-0.126240751,0.038985815,-0.011527813,0.328436245,-0.521962034,0.07968072,0.056753533,0.063211858,-0.041779538,0.201354902,0.471598786,0.026898686,0.038461537,0.071954384,0.048031259,0.103320089,0.212721142
13,-0.47023219,0.126267817,-0.056939847,-1.025027114,2.531640968,-0.798277879,-0.659359961,0.025133568,-0.249152939,1025,1,-0.087831776,0.031677337,0.126208237,-0.118611425,0.041534525,-0.006163343,0.32783091,-0.305783375,0.081030494,0.064960415,0.065750935,-0.041333765,0.192242212,0.340095563,0.027833145,0.037928554,0.073831268,0.061192815,0.104819291,0.244122411
14,-0.39299602,0.299063337,-0.174505142,-1.193066763,0.450182104,-0.480009343,-0.457601974,0.145513498,-0.290621793,1027,1,-0.0858604,0.03327029,0.09729129,-0.21766002,0.040767281,0.082280927,0.245036771,-0.094041798,0.063020383,0.026444546,0.048619558,-0.055061329,0.137508283,0.148219581,0.025077042,0.026148636,0.059863069,0.109956345,0.094257704,0.305269651
